stop_id,stop_name,stop_lat,stop_lon,san_francisco,san_mateo,alameda,santa_clara
2,8th St & Portola Av,37.768814,-122.272992,0,0,1,0
3,8th St & Portola Av,37.768993,-122.272798,0,0,1,0
4,Ralph Appezzato Memorial Pkwy + 3rd St,37.779826,-122.28753,0,0,1,0
7,Aughinbaugh Way & Kofman Pkwy,37.741713,-122.250125,0,0,1,0
8,Aughinbaugh Way & Mecartney Rd,37.738745,-122.25214,0,0,1,0
9,Aughinbaugh Way & Mecartney Rd,37.738463,-122.25196,0,0,1,0
10,Aughinbaugh Way & Robert Davey Jr Dr,37.742485,-122.250108,0,0,1,0
11,Aughinbaugh Way & Robert Davey Jr Dr,37.742889,-122.249962,0,0,1,0
12,Aughinbaugh Way & The Lagoon,37.740936,-122.251036,0,0,1,0
13,Aughinbaugh Way & The Lagoon,37.740519,-122.251191,0,0,1,0
14,Blanding Av & Broadway,37.768581,-122.23377,0,0,1,0
15,Blanding Av & Broadway,37.768741,-122.233731,0,0,1,0
16,Broadway & Santa Clara Av,37.763731,-122.238062,0,0,1,0
17,Broadway & Tilden Way,37.76746,-122.235163,0,0,1,0
25,Challenger Dr & Atlantic Av,37.781464,-122.270789,0,0,1,0
26,Encinal Av & Alameda High School,37.76376,-122.246857,0,0,1,0
27,Encinal Av & Benton St,37.770259,-122.261727,0,0,1,0
28,Encinal Av & Chestnut St,37.766815,-122.253786,0,0,1,0
29,Encinal Av & Chestnut St,37.766745,-122.254144,0,0,1,0
30,Encinal Av & Fountain St,37.756696,-122.234717,0,0,1,0
31,Encinal Av & Grand St,37.768792,-122.258387,0,0,1,0
32,Encinal Av & Grand St,37.768609,-122.258366,0,0,1,0
33,Encinal Av & High St,37.756284,-122.234395,0,0,1,0
34,Encinal Av & Mound St,37.757911,-122.236708,0,0,1,0
35,Encinal Av & Mound St,37.757739,-122.236182,0,0,1,0
36,Encinal Av & Park Av,37.761733,-122.242684,0,0,1,0
37,Encinal Av & Park Av W,37.761881,-122.243208,0,0,1,0
38,Encinal Av & Paru St,37.76935,-122.260037,0,0,1,0
39,Encinal Av & Versailles Av,37.759236,-122.238676,0,0,1,0
40,Encinal Av & Walnut St (Alameda High School),37.764085,-122.247943,0,0,1,0
41,Fernside Blvd & Harvard Dr,37.765249,-122.229066,0,0,1,0
42,Fernside Blvd & Harvard Dr,37.765222,-122.228691,0,0,1,0
43,Fernside Blvd & High St,37.763479,-122.226523,0,0,1,0
44,Fernside Blvd & High St,37.763684,-122.226485,0,0,1,0
45,Fernside Blvd & San Jose Av (Lincoln Middle Sch.),37.752975,-122.231885,0,0,1,0
46,Fernside Blvd & Versailles Av,37.767139,-122.232216,0,0,1,0
47,Fernside Blvd & Versailles Av,37.766939,-122.232229,0,0,1,0
48,433 Grand St (Opp. Wood Middle School),37.761634,-122.262987,0,0,1,0
49,433 Grand St (Wood Middle School),37.761641,-122.262755,0,0,1,0
50,Grand St & Shoreline Dr,37.759748,-122.263841,0,0,1,0
51,Harbor Bay Pkwy & Ferry Terminal,37.736475,-122.256544,0,0,1,0
53,High St & Calhoun St,37.752869,-122.237795,0,0,1,0
54,High St & Encinal Av,37.756447,-122.233855,0,0,1,0
55,High St & Encinal Av,37.756372,-122.234126,0,0,1,0
56,High St & Fairview Av,37.76127,-122.228526,0,0,1,0
57,High St & Fairview Av,37.761541,-122.228403,0,0,1,0
58,High St & Otis Dr,37.752049,-122.238907,0,0,1,0
59,Otis Dr & High St,37.751927,-122.239189,0,0,1,0
60,High St & San Jose Av,37.755006,-122.235422,0,0,1,0
61,High St & San Jose Av,37.75524,-122.235377,0,0,1,0
62,High St & Santa Clara Av,37.758948,-122.231273,0,0,1,0
63,High St & Santa Clara Av,37.758946,-122.2311,0,0,1,0
64,High St & Sterling Av,37.757632,-122.232547,0,0,1,0
65,High St & Van Buren St,37.757684,-122.232666,0,0,1,0
