id,name,latitude,longitude,category
3,Muir Woods National Monument,37.89143,-122.57214,Nature
12,Golden Gate Park,37.7694,-122.48202,Nature
15,Twin Peaks,37.75206,-122.45396,Nature
20,Lands End Lookout,37.77972,-122.51158,Nature
23,Lake Merritt (Oakland),37.80711,-122.25866,Nature
26,Stanford Dish,37.41004,-122.16136,Nature
37,Seal Rock,37.39191,-122.42478,Nature
38,Half Moon Bay Station Beach,37.45966,-122.44525,Nature
39,Mavericks Beach,37.49564,-122.49679,Nature
