id,name,latitude,longitude,category
11,California Academy of Sciences,37.76993,-122.4658,Tech/Education
24,Chabot Space and Science Center,37.81846,-122.18069,Tech/Education
25,Stanford University,37.43119,-122.16905,Tech/Education
31,Apple Park,37.33179,-122.00938,Tech/Education
32,Googleplex (Google HQ),37.42158,-122.08396,Tech/Education
34,Computer History Museum,37.41431,-122.07731,Tech/Education
