id,name,latitude,longitude,category
2,Golden Gate Bridge,37.82018,-122.47868,Landmark
5,Cable Cars (Powell St),37.79032,-122.42202,Landmark
9,Lombard Street,37.80212,-122.41872,Landmark
14,Coit Tower,37.80238,-122.40583,Landmark
